,January,February,March,April,May,June,July,August,September,October,November,December
2016,12838273.469,13358781.360000001,17705210.576,18121354.614,18127819.268999998,16363269.115000002,14554177.447,12290298.462000001,10414536.048,11146466.881000001,13159368.750999998,15614097.149
2017,17776780.428,15931820.843,20514349.735,20028504.224,21470520.655,20955154.908,17558195.045,14236871.329,12382980.299999999,10679913.251000002,11853591.290000001,14220528.611000001
2018,16130199.341000002,15894217.603,16264092.48,17887806.081,20007146.204,18354126.788999997,15732774.021,13391523.181000002,10916268.057,10131583.934999999,11440636.605,11676630.684
2019,12439439.684999999,12508401.956,15363479.919,16376412.995,19473610.122,17349999.213,15078098.122000001,14264102.608000001,10884204.43,10386757.249000002,11603019.127,11582200.590000002
